Noise_Type,Noise_Rate,Fold,Model,Accuracy,F1
asymmetric,0.2,1,Decision Tree,0.8025386426451019,0.5462244177840508
asymmetric,0.2,1,Random Forest,0.8502405568635479,0.6183146360553091
asymmetric,0.2,1,SVM,0.8343740403316614,0.5207345971563981
asymmetric,0.2,1,KNN,0.8221926502200839,0.5505821474773609
asymmetric,0.2,1,LightGBM,0.8644692394308527,0.6513954713006845
asymmetric,0.2,2,Logistic Regression,0.8049953935919746,0.3860779890428617
asymmetric,0.2,2,Decision Tree,0.8001842563210154,0.5430711610486891
asymmetric,0.2,2,Random Forest,0.8488074521445389,0.6072852964637064
asymmetric,0.2,2,SVM,0.8312007370252841,0.5025641025641026
asymmetric,0.2,2,KNN,0.8197358992732112,0.5320223226149349
asymmetric,0.2,2,LightGBM,0.8651857917903573,0.6494543518764972
asymmetric,0.2,3,Logistic Regression,0.8054873054873055,0.39644218551461247
asymmetric,0.2,3,Decision Tree,0.7992424242424242,0.5408569421681105
asymmetric,0.2,3,Random Forest,0.8497133497133497,0.6159079016221873
asymmetric,0.2,3,SVM,0.8358927108927109,0.532789274264063
asymmetric,0.2,3,KNN,0.824017199017199,0.5584382224505523
asymmetric,0.2,3,LightGBM,0.8650696150696151,0.6533403471856918
asymmetric,0.2,4,Logistic Regression,0.8090704340704341,0.4012841091492777
asymmetric,0.2,4,Decision Tree,0.799037674037674,0.5446532127116678
asymmetric,0.2,4,Random Forest,0.8527846027846028,0.6191737288135594
asymmetric,0.2,4,SVM,0.8384520884520884,0.5325829383886256
asymmetric,0.2,4,KNN,0.8260647010647011,0.5624517125933557
asymmetric,0.2,4,LightGBM,0.8674242424242424,0.6593001841620626
asymmetric,0.2,5,Logistic Regression,0.8011875511875511,0.37152103559870553
asymmetric,0.2,5,Decision Tree,0.8019041769041769,0.5360824742268041
asymmetric,0.2,5,Random Forest,0.8445945945945946,0.5962765957446808
asymmetric,0.2,5,SVM,0.8304668304668305,0.49787750151607035
asymmetric,0.2,5,KNN,0.8163390663390664,0.525145579671784
asymmetric,0.2,5,LightGBM,0.8593366093366094,0.6302475780409041
asymmetric,0.3,1,Logistic Regression,0.7909714402702426,0.27793493635077793
asymmetric,0.3,1,Decision Tree,0.7886170539461562,0.48974549048678034
asymmetric,0.3,1,Random Forest,0.8403111884532706,0.5575723199092456
asymmetric,0.3,1,SVM,0.8041764766096837,0.32759226713532513
asymmetric,0.3,1,KNN,0.8121609171870202,0.4791370990632983
asymmetric,0.3,1,LightGBM,0.8506500153546934,0.5737657026000584
asymmetric,0.3,2,Logistic Regression,0.7935305558399017,0.29153494906919564
asymmetric,0.3,2,Decision Tree,0.7929163681031836,0.5074263452641831
asymmetric,0.3,2,Random Forest,0.8352953219367386,0.5356421356421357
asymmetric,0.3,2,SVM,0.7987511516020064,0.29025270758122745
asymmetric,0.3,2,KNN,0.8111372709591566,0.46691707598959836
asymmetric,0.3,2,LightGBM,0.8512642030914116,0.5774934574004071
asymmetric,0.3,3,Logistic Regression,0.7949426699426699,0.3018473335657023
asymmetric,0.3,3,Decision Tree,0.7957616707616708,0.5135332845647403
asymmetric,0.3,3,Random Forest,0.836916461916462,0.5444666857306263
asymmetric,0.3,3,SVM,0.803030303030303,0.3143264433357092
asymmetric,0.3,3,KNN,0.8131654381654382,0.4875035102499298
asymmetric,0.3,3,LightGBM,0.8532964782964783,0.5861969390701703
asymmetric,0.3,4,Logistic Regression,0.7955569205569205,0.2990522990522991
asymmetric,0.3,4,Decision Tree,0.7987305487305487,0.5160019694731659
asymmetric,0.3,4,Random Forest,0.8378378378378378,0.5416666666666666
asymmetric,0.3,4,SVM,0.8055896805896806,0.3258785942492013
asymmetric,0.3,4,KNN,0.8179770679770679,0.50390625
asymmetric,0.3,4,LightGBM,0.8533988533988534,0.5892139988525531
asymmetric,0.3,5,Logistic Regression,0.7899262899262899,0.2697508896797153
asymmetric,0.3,5,Decision Tree,0.7945331695331695,0.5003734129947722
asymmetric,0.3,5,Random Forest,0.8311834561834562,0.5232726221451286
asymmetric,0.3,5,SVM,0.8041564291564292,0.3189747241011036
asymmetric,0.3,5,KNN,0.8091728091728092,0.46864310148232613
asymmetric,0.3,5,LightGBM,0.846027846027846,0.5521143537820131
